,names,score,tensor,check, lens , no lens ,Predicted class,Original class,Compare
0,imageSDSS_I-100201.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 2.6423e-07], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 2.6423e-07], device='cuda:0')","data: tensor([1.0000e+00, 2.6423e-07], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
1,imageSDSS_I-100227.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 9.1533e-07], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 9.1533e-07], device='cuda:0')","data: tensor([1.0000e+00, 9.1533e-07], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
2,imageSDSS_I-100705.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 3.8692e-07], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 3.8692e-07], device='cuda:0')","data: tensor([1.0000e+00, 3.8692e-07], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
3,imageSDSS_I-100012.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.9049, 0.0951], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9049, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.9049, 0.0951], device='cuda:0')","data: tensor([0.9049, 0.0951], device='cuda:0')", 0.90 , 0.10 ,0,0,TRUE
4,imageSDSS_I-100852.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.9867, 0.0133], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9867, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.9867, 0.0133], device='cuda:0')","data: tensor([0.9867, 0.0133], device='cuda:0')", 0.99 , 0.01 ,0,1,FALSE
5,imageSDSS_I-115661.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9995e-01, 4.8430e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9995e-01, 4.8430e-05], device='cuda:0')","data: tensor([9.9995e-01, 4.8430e-05], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
6,imageSDSS_I-100039.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9938e-01, 6.1679e-04], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9994, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9938e-01, 6.1679e-04], device='cuda:0')","data: tensor([9.9938e-01, 6.1679e-04], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
7,imageSDSS_I-100351.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9990e-01, 9.8590e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9999, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9990e-01, 9.8590e-05], device='cuda:0')","data: tensor([9.9990e-01, 9.8590e-05], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
8,imageSDSS_I-100639.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9996e-01, 4.1051e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9996e-01, 4.1051e-05], device='cuda:0')","data: tensor([9.9996e-01, 4.1051e-05], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
9,imageSDSS_I-100722.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9980e-01, 2.0065e-04], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9998, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9980e-01, 2.0065e-04], device='cuda:0')","data: tensor([9.9980e-01, 2.0065e-04], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
10,imageSDSS_I-100891.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9999e-01, 8.3752e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9999e-01, 8.3752e-06], device='cuda:0')","data: tensor([9.9999e-01, 8.3752e-06], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
11,imageSDSS_I-100647.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9999e-01, 9.5751e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9999e-01, 9.5751e-06], device='cuda:0')","data: tensor([9.9999e-01, 9.5751e-06], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
12,imageSDSS_I-100862.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9999e-01, 1.3099e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9999e-01, 1.3099e-05], device='cuda:0')","data: tensor([9.9999e-01, 1.3099e-05], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
13,imageSDSS_I-100510.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.8358, 0.1642], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.8358, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.8358, 0.1642], device='cuda:0')","data: tensor([0.8358, 0.1642], device='cuda:0')", 0.84 , 0.16 ,0,1,FALSE
14,imageSDSS_I-100782.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.9642, 0.0358], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9642, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.9642, 0.0358], device='cuda:0')","data: tensor([0.9642, 0.0358], device='cuda:0')", 0.96 , 0.04 ,0,1,FALSE
15,imageSDSS_I-100875.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9999e-01, 9.9695e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9999e-01, 9.9695e-06], device='cuda:0')","data: tensor([9.9999e-01, 9.9695e-06], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
16,imageSDSS_I-100874.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9986e-01, 1.3510e-04], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9999, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9986e-01, 1.3510e-04], device='cuda:0')","data: tensor([9.9986e-01, 1.3510e-04], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
17,imageSDSS_I-100751.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 2.4145e-07], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 2.4145e-07], device='cuda:0')","data: tensor([1.0000e+00, 2.4145e-07], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
18,imageSDSS_I-100139.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9917e-01, 8.2964e-04], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9992, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9917e-01, 8.2964e-04], device='cuda:0')","data: tensor([9.9917e-01, 8.2964e-04], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
19,imageSDSS_I-100107.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.9985, 0.0015], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9985, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.9985, 0.0015], device='cuda:0')","data: tensor([0.9985, 0.0015], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
20,imageSDSS_I-100438.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9993e-01, 7.4446e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9999, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9993e-01, 7.4446e-05], device='cuda:0')","data: tensor([9.9993e-01, 7.4446e-05], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
21,imageSDSS_I-115658.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 3.6641e-08], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1., device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 3.6641e-08], device='cuda:0')","data: tensor([1.0000e+00, 3.6641e-08], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
22,imageSDSS_I-100742.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 2.0811e-11], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1., device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 2.0811e-11], device='cuda:0')","data: tensor([1.0000e+00, 2.0811e-11], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
23,imageSDSS_I-100223.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.9965, 0.0035], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9965, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.9965, 0.0035], device='cuda:0')","data: tensor([0.9965, 0.0035], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
24,imageSDSS_I-100604.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9925e-01, 7.5002e-04], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9992, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9925e-01, 7.5002e-04], device='cuda:0')","data: tensor([9.9925e-01, 7.5002e-04], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
25,imageSDSS_I-100136.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 3.3552e-08], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1., device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 3.3552e-08], device='cuda:0')","data: tensor([1.0000e+00, 3.3552e-08], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
26,imageSDSS_I-100627.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9998e-01, 1.9537e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9998e-01, 1.9537e-05], device='cuda:0')","data: tensor([9.9998e-01, 1.9537e-05], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
27,imageSDSS_I-100644.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 1.5579e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 1.5579e-06], device='cuda:0')","data: tensor([1.0000e+00, 1.5579e-06], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
28,imageSDSS_I-100292.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 1.3400e-08], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1., device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 1.3400e-08], device='cuda:0')","data: tensor([1.0000e+00, 1.3400e-08], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
29,imageSDSS_I-100562.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 2.6316e-07], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 2.6316e-07], device='cuda:0')","data: tensor([1.0000e+00, 2.6316e-07], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
30,imageSDSS_I-100741.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 3.3405e-07], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 3.3405e-07], device='cuda:0')","data: tensor([1.0000e+00, 3.3405e-07], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
31,imageSDSS_I-100682.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 1.3273e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 1.3273e-06], device='cuda:0')","data: tensor([1.0000e+00, 1.3273e-06], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
32,imageSDSS_I-100106.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9999e-01, 7.2830e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9999e-01, 7.2830e-06], device='cuda:0')","data: tensor([9.9999e-01, 7.2830e-06], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
33,imageSDSS_I-100628.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9975e-01, 2.4832e-04], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9998, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9975e-01, 2.4832e-04], device='cuda:0')","data: tensor([9.9975e-01, 2.4832e-04], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
34,imageSDSS_I-100040.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9999e-01, 8.8710e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9999e-01, 8.8710e-06], device='cuda:0')","data: tensor([9.9999e-01, 8.8710e-06], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
35,imageSDSS_I-100125.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 3.3074e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 3.3074e-06], device='cuda:0')","data: tensor([1.0000e+00, 3.3074e-06], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
36,imageSDSS_I-100379.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 1.8555e-07], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 1.8555e-07], device='cuda:0')","data: tensor([1.0000e+00, 1.8555e-07], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
37,imageSDSS_I-100685.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 1.2065e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 1.2065e-06], device='cuda:0')","data: tensor([1.0000e+00, 1.2065e-06], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
38,imageSDSS_I-100060.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.9866, 0.0134], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9866, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.9866, 0.0134], device='cuda:0')","data: tensor([0.9866, 0.0134], device='cuda:0')", 0.99 , 0.01 ,0,0,TRUE
39,imageSDSS_I-100376.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9992e-01, 8.2036e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9999, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9992e-01, 8.2036e-05], device='cuda:0')","data: tensor([9.9992e-01, 8.2036e-05], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
40,imageSDSS_I-100121.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.9264, 0.0736], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9264, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.9264, 0.0736], device='cuda:0')","data: tensor([0.9264, 0.0736], device='cuda:0')", 0.93 , 0.07 ,0,1,FALSE
41,imageSDSS_I-100184.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9998e-01, 1.6782e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9998e-01, 1.6782e-05], device='cuda:0')","data: tensor([9.9998e-01, 1.6782e-05], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
42,imageSDSS_I-100865.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.9360, 0.0640], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9360, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.9360, 0.0640], device='cuda:0')","data: tensor([0.9360, 0.0640], device='cuda:0')", 0.94 , 0.06 ,0,0,TRUE
43,imageSDSS_I-100910.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([0.9989, 0.0011], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9989, device='cuda:0')
top5: [0, 1]
top5conf: tensor([0.9989, 0.0011], device='cuda:0')","data: tensor([0.9989, 0.0011], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
44,imageSDSS_I-100188.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9993e-01, 6.8808e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9999, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9993e-01, 6.8808e-05], device='cuda:0')","data: tensor([9.9993e-01, 6.8808e-05], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
45,imageSDSS_I-100817.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 2.2461e-06], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1.0000, device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 2.2461e-06], device='cuda:0')","data: tensor([1.0000e+00, 2.2461e-06], device='cuda:0')", 1.00 , 0.00 ,0,1,FALSE
46,imageSDSS_I-100172.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([9.9992e-01, 7.7211e-05], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(0.9999, device='cuda:0')
top5: [0, 1]
top5conf: tensor([9.9992e-01, 7.7211e-05], device='cuda:0')","data: tensor([9.9992e-01, 7.7211e-05], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
47,imageSDSS_I-100028.png,"{0: 'lens', 1: 'no lens'}","ultralytics.engine.results.Probs object with attributes:

data: tensor([1.0000e+00, 1.0358e-08], device='cuda:0')
orig_shape: None
shape: torch.Size([2])
top1: 0
top1conf: tensor(1., device='cuda:0')
top5: [0, 1]
top5conf: tensor([1.0000e+00, 1.0358e-08], device='cuda:0')","data: tensor([1.0000e+00, 1.0358e-08], device='cuda:0')", 1.00 , 0.00 ,0,0,TRUE
